,AtomicNumber,Symbol,Name,AtomicMass,CPKHexColor,ElectronConfiguration,Electronegativity,AtomicRadius,IonizationEnergy,ElectronAffinity,OxidationStates,StandardState,MeltingPoint,BoilingPoint,Density,GroupBlock,YearDiscovered,BoilingPointC
19,20,Ca,Calcium,40.08,3DFF00,[Ar]4s2,1.0,231.0,6.1129999999999995,,2,Solid,1115.0,1757.0,1.54,Alkaline earth metal,Ancient,1483.85
20,21,Sc,Scandium,44.955909999999996,E6E6E6,[Ar]4s2 3d1,1.36,211.0,6.561,0.188,3,Solid,1814.0,3109.0,2.99,Transition metal,1879,2835.85
21,22,Ti,Titanium,47.87,BFC2C7,[Ar]4s2 3d2,1.54,187.0,6.827999999999999,0.079,"+4, +3, +2",Solid,1941.0,3560.0,4.5,Transition metal,1791,3286.85
22,23,V,Vanadium,50.941,A6A6AB,[Ar]4s2 3d3,1.63,179.0,6.746,0.525,"+5, +4, +3, +2",Solid,2183.0,3680.0,6.0,Transition metal,1801,3406.85
23,24,Cr,Chromium,51.996,8A99C7,[Ar]3d5 4s1,1.66,189.0,6.767,0.6659999999999999,"+6, +3, +2",Solid,2180.0,2944.0,7.15,Transition metal,1797,2670.85
24,25,Mn,Manganese,54.93804,9C7AC7,[Ar]4s2 3d5,1.55,197.0,7.434,,"+7, +4, +3, +2",Solid,1519.0,2334.0,7.3,Transition metal,1774,2060.85
25,26,Fe,Iron,55.84,E06633,[Ar]4s2 3d6,1.83,194.0,7.902,0.163,"+3, +2",Solid,1811.0,3134.0,7.874,Transition metal,Ancient,2860.85
26,27,Co,Cobalt,58.93319,F090A0,[Ar]4s2 3d7,1.88,192.0,7.881,0.6609999999999999,"+3, +2",Solid,1768.0,3200.0,8.86,Transition metal,1735,2926.85
27,28,Ni,Nickel,58.693000000000005,50D050,[Ar]4s2 3d8,1.91,163.0,7.64,1.156,"+3, +2",Solid,1728.0,3186.0,8.912,Transition metal,1751,2912.85
28,29,Cu,Copper,63.55,C88033,[Ar]4s1 3d10,1.9,140.0,7.726,1.228,"+2, +1",Solid,1357.77,2835.0,8.933,Transition metal,Ancient,2561.85
29,30,Zn,Zinc,65.4,7D80B0,[Ar]4s2 3d10,1.65,139.0,9.394,,2,Solid,692.68,1180.0,7.1339999999999995,Transition metal,1746,906.85
30,31,Ga,Gallium,69.72,C28F8F,[Ar]4s2 3d10 4p1,1.81,187.0,5.999,0.3,3,Solid,302.91,2477.0,5.91,Post-transition metal,1875,2203.85
31,32,Ge,Germanium,72.63,668F8F,[Ar]4s2 3d10 4p2,2.01,211.0,7.9,1.35,"+4, +2",Solid,1211.4,3106.0,5.3229999999999995,Metalloid,1886,2832.85
32,33,As,Arsenic,74.92159000000001,BD80E3,[Ar]4s2 3d10 4p3,2.18,185.0,9.815,0.81,"+5, +3, -3",Solid,1090.0,887.0,5.776,Metalloid,Ancient,613.85
33,34,Se,Selenium,78.97,FFA100,[Ar]4s2 3d10 4p4,2.55,190.0,9.752,2.021,"+6, +4, -2",Solid,493.65,958.0,4.809,Nonmetal,1817,684.85
34,35,Br,Bromine,79.9,A62929,[Ar]4s2 3d10 4p5,2.96,183.0,11.814,3.365,"+5, +1, -1",Liquid,265.95,331.95,3.11,Halogen,1826,58.80000000000001
35,36,Kr,Krypton,83.8,5CB8D1,[Ar]4s2 3d10 4p6,3.0,202.0,14.0,,0,Gas,115.79,119.93,0.0037329999999999998,Noble gas,1898,-153.21999999999997
36,37,Rb,Rubidium,85.46799999999999,702EB0,[Kr]5s1,0.82,303.0,4.177,0.46799999999999997,1,Solid,312.46,961.0,1.53,Alkali metal,1861,687.85
37,38,Sr,Strontium,87.6,00FF00,[Kr]5s2,0.95,249.0,5.695,,2,Solid,1050.0,1655.0,2.64,Alkaline earth metal,1790,1381.85
38,39,Y,Yttrium,88.9058,94FFFF,[Kr]5s2 4d1,1.22,219.0,6.2170000000000005,0.307,3,Solid,1795.0,3618.0,4.47,Transition metal,1794,3344.85
39,40,Zr,Zirconium,91.22,94E0E0,[Kr]5s2 4d2,1.33,186.0,6.6339999999999995,0.426,4,Solid,2128.0,4682.0,6.52,Transition metal,1789,4408.85
40,41,Nb,Niobium,92.9064,73C2C9,[Kr]5s1 4d4,1.6,207.0,6.7589999999999995,0.893,"+5, +3",Solid,2750.0,5017.0,8.57,Transition metal,1801,4743.85
41,42,Mo,Molybdenum,96.0,54B5B5,[Kr]5s1 4d5,2.16,209.0,7.0920000000000005,0.746,6,Solid,2896.0,4912.0,10.2,Transition metal,1778,4638.85
42,43,Tc,Technetium,97.90720999999999,3B9E9E,[Kr]5s2 4d5,1.9,209.0,7.28,0.55,"+7, +6, +4",Solid,2430.0,4538.0,11.0,Transition metal,1937,4264.85
43,44,Ru,Ruthenium,101.1,248F8F,[Kr]5s1 4d7,2.2,207.0,7.361000000000001,1.05,3,Solid,2607.0,4423.0,12.1,Transition metal,1827,4149.85
44,45,Rh,Rhodium,102.9055,0A7D8C,[Kr]5s1 4d8,2.28,195.0,7.459,1.137,3,Solid,2237.0,3968.0,12.4,Transition metal,1803,3694.85
45,46,Pd,Palladium,106.4,6985,[Kr]4d10,2.2,202.0,8.337,0.557,"+3, +2",Solid,1828.05,3236.0,12.0,Transition metal,1803,2962.85
46,47,Ag,Silver,107.868,C0C0C0,[Kr]5s1 4d10,1.93,172.0,7.5760000000000005,1.3019999999999998,1,Solid,1234.93,2435.0,10.501,Transition metal,Ancient,2161.85
47,48,Cd,Cadmium,112.41,FFD98F,[Kr]5s2 4d10,1.69,158.0,8.994,,2,Solid,594.22,1040.0,8.69,Transition metal,1817,766.85
48,49,In,Indium,114.82,A67573,[Kr]5s2 4d10 5p1,1.78,193.0,5.7860000000000005,0.3,3,Solid,429.75,2345.0,7.31,Post-transition metal,1863,2071.85
49,50,Sn,Tin,118.71,668080,[Kr]5s2 4d10 5p2,1.96,217.0,7.343999999999999,1.2,"+4, +2",Solid,505.08,2875.0,7.287000000000001,Post-transition metal,Ancient,2601.85
50,51,Sb,Antimony,121.76,9E63B5,[Kr]5s2 4d10 5p3,2.05,206.0,8.64,1.07,"+5, +3, -3",Solid,903.78,1860.0,6.685,Metalloid,Ancient,1586.85
51,52,Te,Tellurium,127.6,D47A00,[Kr]5s2 4d10 5p4,2.1,206.0,9.01,1.9709999999999999,"+6, +4, -2",Solid,722.66,1261.0,6.232,Metalloid,1782,987.85
52,53,I,Iodine,126.9045,940094,[Kr]5s2 4d10 5p5,2.66,198.0,10.450999999999999,3.0589999999999997,"+7, +5, +1, -1",Solid,386.85,457.55,4.93,Halogen,1811,184.40000000000003
53,54,Xe,Xenon,131.29,429EB0,[Kr]5s2 4d10 5p6,2.6,216.0,12.13,,0,Gas,161.36,165.03,0.005887,Noble gas,1898,-108.11999999999998
54,55,Cs,Cesium,132.905452,57178F,[Xe]6s1,0.79,343.0,3.8939999999999997,0.47200000000000003,1,Solid,301.59,944.0,1.93,Alkali metal,1860,670.85
55,56,Ba,Barium,137.33,00C900,[Xe]6s2,0.89,268.0,5.212000000000001,,2,Solid,1000.0,2170.0,3.62,Alkaline earth metal,1808,1896.85
56,57,La,Lanthanum,138.9055,70D4FF,[Xe]6s2 5d1,1.1,240.0,5.577000000000001,0.5,3,Solid,1191.0,3737.0,6.15,Lanthanide,1839,3463.85
57,58,Ce,Cerium,140.12,FFFFC7,[Xe]6s2 4f1 5d1,1.12,235.0,5.539,0.5,"+4, +3",Solid,1071.0,3697.0,6.77,Lanthanide,1803,3423.85
58,59,Pr,Praseodymium,140.9077,D9FFC7,[Xe]6s2 4f3,1.13,239.0,5.4639999999999995,,3,Solid,1204.0,3793.0,6.77,Lanthanide,1885,3519.85
59,60,Nd,Neodymium,144.24,C7FFC7,[Xe]6s2 4f4,1.14,229.0,5.525,,3,Solid,1294.0,3347.0,7.01,Lanthanide,1885,3073.85
60,61,Pm,Promethium,144.91276000000002,A3FFC7,[Xe]6s2 4f5,,236.0,5.55,,3,Solid,1315.0,3273.0,7.26,Lanthanide,1945,2999.85
61,62,Sm,Samarium,150.4,8FFFC7,[Xe]6s2 4f6,1.17,229.0,5.644,,"+3, +2",Solid,1347.0,2067.0,7.52,Lanthanide,1879,1793.85
62,63,Eu,Europium,151.96,61FFC7,[Xe]6s2 4f7,,233.0,5.67,,"+3, +2",Solid,1095.0,1802.0,5.24,Lanthanide,1901,1528.85
63,64,Gd,Gadolinium,157.2,45FFC7,[Xe]6s2 4f7 5d1,1.2,237.0,6.15,,3,Solid,1586.0,3546.0,7.9,Lanthanide,1880,3272.85
64,65,Tb,Terbium,158.92535,30FFC7,[Xe]6s2 4f9,,221.0,5.864,,3,Solid,1629.0,3503.0,8.23,Lanthanide,1843,3229.85
65,66,Dy,Dysprosium,162.5,1FFFC7,[Xe]6s2 4f10,1.22,229.0,5.939,,3,Solid,1685.0,2840.0,8.55,Lanthanide,1886,2566.85
66,67,Ho,Holmium,164.93033,00FF9C,[Xe]6s2 4f11,1.23,216.0,6.022,,3,Solid,1747.0,2973.0,8.8,Lanthanide,1878,2699.85
67,68,Er,Erbium,167.26,,[Xe]6s2 4f12,1.24,235.0,6.108,,3,Solid,1802.0,3141.0,9.07,Lanthanide,1843,2867.85
68,69,Tm,Thulium,168.93421999999998,00D452,[Xe]6s2 4f13,1.25,227.0,6.184,,3,Solid,1818.0,2223.0,9.32,Lanthanide,1879,1949.85
69,70,Yb,Ytterbium,173.04,00BF38,[Xe]6s2 4f14,,242.0,6.254,,"+3, +2",Solid,1092.0,1469.0,6.9,Lanthanide,1878,1195.85
70,71,Lu,Lutetium,174.967,00AB24,[Xe]6s2 4f14 5d1,1.27,221.0,5.426,,3,Solid,1936.0,3675.0,9.84,Lanthanide,1907,3401.85
71,72,Hf,Hafnium,178.5,4DC2FF,[Xe]6s2 4f14 5d2,1.3,212.0,6.825,,4,Solid,2506.0,4876.0,13.3,Transition metal,1923,4602.85
72,73,Ta,Tantalum,180.9479,4DA6FF,[Xe]6s2 4f14 5d3,1.5,217.0,7.89,0.322,5,Solid,3290.0,5731.0,16.4,Transition metal,1802,5457.85
73,74,W,Tungsten,183.8,2194D6,[Xe]6s2 4f14 5d4,2.36,210.0,7.98,0.815,6,Solid,3695.0,5828.0,19.3,Transition metal,1783,5554.85
74,75,Re,Rhenium,186.21,267DAB,[Xe]6s2 4f14 5d5,1.9,217.0,7.88,0.15,"+7, +6, +4",Solid,3459.0,5869.0,20.8,Transition metal,1925,5595.85
75,76,Os,Osmium,190.2,266696,[Xe]6s2 4f14 5d6,2.2,216.0,8.7,1.1,"+4, +3",Solid,3306.0,5285.0,22.57,Transition metal,1803,5011.85
76,77,Ir,Iridium,192.22,175487,[Xe]6s2 4f14 5d7,2.2,202.0,9.1,1.565,"+4, +3",Solid,2719.0,4701.0,22.42,Transition metal,1803,4427.85
77,78,Pt,Platinum,195.08,D0D0E0,[Xe]6s1 4f14 5d9,2.28,209.0,9.0,2.128,"+4, +2",Solid,2041.55,4098.0,21.46,Transition metal,1735,3824.85
78,79,Au,Gold,196.96657,FFD123,[Xe]6s1 4f14 5d10,2.54,166.0,9.226,2.309,"+3, +1",Solid,1337.33,3129.0,19.282,Transition metal,Ancient,2855.85
79,80,Hg,Mercury,200.59,B8B8D0,[Xe]6s2 4f14 5d10,2.0,209.0,10.437999999999999,,"+2, +1",Liquid,234.32,629.88,13.5336,Transition metal,Ancient,356.73
80,81,Tl,Thallium,204.38299999999998,A6544D,[Xe]6s2 4f14 5d10 6p1,1.62,196.0,6.108,0.2,"+3, +1",Solid,577.0,1746.0,11.8,Post-transition metal,1861,1472.85
81,82,Pb,Lead,207.0,575961,[Xe]6s2 4f14 5d10 6p2,2.33,202.0,7.417000000000001,0.36,"+4, +2",Solid,600.61,2022.0,11.342,Post-transition metal,Ancient,1748.85
82,83,Bi,Bismuth,208.9804,9E4FB5,[Xe]6s2 4f14 5d10 6p3,2.02,207.0,7.289,0.946,"+5, +3",Solid,544.55,1837.0,9.807,Post-transition metal,1753,1563.85
83,84,Po,Polonium,208.98243,AB5C00,[Xe]6s2 4f14 5d10 6p4,2.0,197.0,8.417,1.9,"+4, +2",Solid,527.0,1235.0,9.32,Metalloid,1898,961.85
84,85,At,Astatine,209.98715,754F45,[Xe]6s2 4f14 5d10 6p5,2.2,202.0,9.5,2.8,"7, 5, 3, 1, -1",Solid,575.0,,7.0,Halogen,1940,
85,86,Rn,Radon,222.01757999999998,428296,[Xe]6s2 4f14 5d10 6p6,,220.0,10.745,,0,Gas,202.0,211.45,0.009729999999999999,Noble gas,1900,-61.69999999999999
86,87,Fr,Francium,223.01972999999998,420066,[Rn]7s1,0.7,348.0,3.9,0.47,1,Solid,300.0,,,Alkali metal,1939,
87,88,Ra,Radium,226.02541000000002,007D00,[Rn]7s2,0.9,283.0,5.279,,2,Solid,973.0,1413.0,5.0,Alkaline earth metal,1898,1139.85
88,89,Ac,Actinium,227.02775,70ABFA,[Rn]7s2 6d1,1.1,260.0,5.17,,3,Solid,1324.0,3471.0,10.07,Actinide,1899,3197.85
89,90,Th,Thorium,232.03799999999998,00BAFF,[Rn]7s2 6d2,1.3,237.0,6.08,,4,Solid,2023.0,5061.0,11.72,Actinide,1828,4787.85
90,91,Pa,Protactinium,231.0359,00A1FF,[Rn]7s2 5f2 6d1,1.5,243.0,5.89,,"+5, +4",Solid,1845.0,,15.37,Actinide,1913,
91,92,U,Uranium,238.0289,008FFF,[Rn]7s2 5f3 6d1,1.38,240.0,6.194,,"+6, +5, +4, +3",Solid,1408.0,4404.0,18.95,Actinide,1789,4130.85
92,93,Np,Neptunium,237.04817000000003,0080FF,[Rn]7s2 5f4 6d1,1.36,221.0,6.266,,"+6, +5, +4, +3",Solid,917.0,4175.0,20.25,Actinide,1940,3901.85
93,94,Pu,Plutonium,244.0642,006BFF,[Rn]7s2 5f6,1.28,243.0,6.06,,"+6, +5, +4, +3",Solid,913.0,3501.0,19.84,Actinide,1940,3227.85
94,95,Am,Americium,243.06137999999999,545CF2,[Rn]7s2 5f7,1.3,244.0,5.992999999999999,,"+6, +5, +4, +3",Solid,1449.0,2284.0,13.69,Actinide,1944,2010.85
95,96,Cm,Curium,247.07035,785CE3,[Rn]7s2 5f7 6d1,1.3,245.0,6.02,,3,Solid,1618.0,3400.0,13.51,Actinide,1944,3126.85
96,97,Bk,Berkelium,247.07031,8A4FE3,[Rn]7s2 5f9,1.3,244.0,6.23,,"+4, +3",Solid,1323.0,,14.0,Actinide,1949,
97,98,Cf,Californium,251.07959,A136D4,[Rn]7s2 5f10,1.3,245.0,6.3,,3,Solid,1173.0,,,Actinide,1950,
98,99,Es,Einsteinium,252.083,B31FD4,[Rn]7s2 5f11,1.3,245.0,6.42,,3,Solid,1133.0,,,Actinide,1952,
99,100,Fm,Fermium,257.09511000000003,B31FBA,[Rn] 5f12 7s2,1.3,,6.5,,3,Solid,1800.0,,,Actinide,1952,
100,101,Md,Mendelevium,258.09843,B30DA6,[Rn]7s2 5f13,1.3,,6.58,,"+3, +2",Solid,1100.0,,,Actinide,1955,
101,102,No,Nobelium,259.101,BD0D87,[Rn]7s2 5f14,1.3,,6.65,,"+3, +2",Solid,1100.0,,,Actinide,1957,
102,103,Lr,Lawrencium,262.11,C70066,[Rn]7s2 5f14 6d1,1.3,,,,3,Solid,1900.0,,,Actinide,1961,
103,104,Rf,Rutherfordium,267.122,CC0059,[Rn]7s2 5f14 6d2,,,,,4,Solid,,,,Transition metal,1964,
104,105,Db,Dubnium,268.126,D1004F,[Rn]7s2 5f14 6d3,,,,,"5, 4, 3",Solid,,,,Transition metal,1967,
105,106,Sg,Seaborgium,271.134,D90045,[Rn]7s2 5f14 6d4,,,,,"6, 5, 4, 3, 0",Solid,,,,Transition metal,1974,
106,107,Bh,Bohrium,274.144,E00038,[Rn]7s2 5f14 6d5,,,,,"7, 5, 4, 3",Solid,,,,Transition metal,1976,
107,108,Hs,Hassium,277.152,E6002E,[Rn]7s2 5f14 6d6,,,,,"8, 6, 5, 4, 3, 2",Solid,,,,Transition metal,1984,
108,109,Mt,Meitnerium,278.156,EB0026,[Rn]7s2 5f14 6d7 (calculated),,,,,"9, 8, 6, 4, 3, 1",Solid,,,,Transition metal,1982,
109,110,Ds,Darmstadtium,281.165,,[Rn]7s2 5f14 6d8 (predicted),,,,,"8, 6, 4, 2, 0",Expected to be a Solid,,,,Transition metal,1994,
110,111,Rg,Roentgenium,282.16900000000004,,[Rn]7s2 5f14 6d9 (predicted),,,,,"5, 3, 1, -1",Expected to be a Solid,,,,Transition metal,1994,
111,112,Cn,Copernicium,285.177,,[Rn]7s2 5f14 6d10 (predicted),,,,,"2, 1, 0",Expected to be a Solid,,,,Transition metal,1996,
112,113,Nh,Nihonium,286.183,,[Rn]5f14 6d10 7s2 7p1 (predicted),,,,,,Expected to be a Solid,,,,Post-transition metal,2004,
113,114,Fl,Flerovium,289.191,,[Rn]7s2 7p2 5f14 6d10 (predicted),,,,,"6, 4,2, 1, 0",Expected to be a Solid,,,,Post-transition metal,1998,
114,115,Mc,Moscovium,290.19599999999997,,[Rn]7s2 7p3 5f14 6d10 (predicted),,,,,"3, 1",Expected to be a Solid,,,,Post-transition metal,2003,
115,116,Lv,Livermorium,293.205,,[Rn]7s2 7p4 5f14 6d10 (predicted),,,,,"+4, +2, -2",Expected to be a Solid,,,,Post-transition metal,2000,
116,117,Ts,Tennessine,294.211,,[Rn]7s2 7p5 5f14 6d10 (predicted),,,,,"+5, +3, +1, -1",Expected to be a Solid,,,,Halogen,2010,
117,118,Og,Oganesson,294.214,,[Rn]7s2 7p6 5f14 6d10 (predicted),,,,,"+6, +4, +2, +1, 0, -1",Expected to be a Gas,,,,Noble gas,2006,
